timestamp,energy_kwh,outdoor_temp,indoor_temp,occupancy,humidity,hvac_status,solar_irradiance,wind_speed,building_zone,setpoint_temp,equipment_age,day_type,day_type_num,Isolation Forest_anomaly,Isolation Forest_score,HBOS_anomaly,HBOS_score,COPOD_anomaly,COPOD_score,agreement
2026-01-02 20:09:24.282531,79.22713607955978,27.25838870060939,22.815232629125816,7,44.4,1,0.0,5.0,Main Building,22.0,5.0,Weekday,0,False,-0.12032297448205626,False,3.3785918579027427,False,7.226670302498494,0.0
2026-01-02 21:09:24.282531,75.67886014170757,20.246727672900185,23.343820565671077,15,53.4,0,0.0,1.4,Main Building,22.0,5.0,Weekday,0,False,-0.06909804008229387,False,5.267391278212531,False,8.691158991672312,0.0
2026-01-02 22:09:24.282531,93.0676138525936,18.230107347203464,22.325717166765287,42,67.4,0,0.0,7.9,Main Building,20.0,5.0,Weekday,0,False,-0.053561234069881114,False,7.591150213997385,False,12.108282199361373,0.0
2026-01-02 23:09:24.282531,103.05553705821276,21.398124931982764,21.52113522544259,45,56.8,0,0.0,1.8,Main Building,22.0,5.0,Weekday,0,False,-0.06235544730177067,False,6.294516565499467,False,10.567263357892145,0.0
2026-01-03 00:09:24.282531,43.13712371631783,17.695308285052015,21.879148347107563,0,52.7,1,0.0,2.2,Main Building,20.0,5.0,Weekend,1,False,-0.08425603926430647,False,4.7084502530352665,False,8.376789608074851,0.0
2026-01-03 01:09:24.282531,49.96645055397074,14.08840256336372,24.01799752334873,12,57.0,1,0.0,12.9,Main Building,20.0,5.0,Weekend,1,False,-0.12012204212842764,False,6.177268294752211,False,9.731920051555086,0.0
2026-01-03 02:09:24.282531,51.660711536520274,14.944929324207544,23.40004856545025,27,51.7,1,0.0,4.2,Main Building,20.0,5.0,Weekend,1,False,-0.15517732090836955,False,3.866752258153605,False,6.812839858555921,0.0
2026-01-03 03:09:24.282531,40.25349486817159,16.599596565851535,23.878643549352606,59,56.0,1,0.0,4.9,Main Building,20.0,5.0,Weekend,1,False,-0.12604960839087814,False,6.389803453342297,False,8.051269943024352,0.0
2026-01-03 04:09:24.282531,54.93851626718396,12.31974913098863,24.43848058057807,42,52.8,1,0.0,13.0,Main Building,20.0,5.0,Weekend,1,False,-0.12284752982706432,False,6.455870564124057,False,9.359919246832959,0.0
2026-01-03 05:09:24.282531,46.039862904698346,12.567578185135782,24.01870939359677,84,49.7,1,0.0,1.3,Main Building,20.0,5.0,Weekend,1,False,-0.11026033610386204,False,6.405385248285248,False,8.317044027947645,0.0
